,address,longitude,locality,store_code,staff_numbers,opening_date,store_type,latitude,country_code,continent
0,"Flat 72W
Sally isle
East Deantown
E7B 8EB, High Wycombe",51.62907,HighWycombe,HI-9B97EE4E,34.0,1996-10-25,Local,-0.74934,GB,Europe
1,"Heckerstraße 4/5
50491 Säckingen, Landshut",48.52961,Landshut,LA-0772C7B9,92.0,2013-04-12,Super Store,12.16179,DE,Europe
2,"5 Harrison tunnel
South Lydia
WC9 2BE, Westbury",51.26,Westbury,WE-1DE82CEE,69.0,2014-01-02,Super Store,-2.1875,GB,Europe
3,"Studio 6
Stephen landing
South Simon
B77 2WA, Belper",53.0233,Belper,BE-18074576,35.0,2019-09-09,Local,-1.48119,GB,Europe
4,"Flat 92u
Christian harbors
Port Charlotte
N57 8FJ, Gainsborough",53.38333,Gainsborough,GA-CAD01AC2,36.0,1995-05-15,Local,-0.76667,GB,Europe
5,"7 Gillian rue
West Robertside
PH4 8NY, Rutherglen",55.82885,Rutherglen,RU-C603E990,92.0,2001-01-04,Super Store,-4.21376,GB,Europe
6,"Lilija-Heß-Allee 660
34566 Regensburg, Stuttgart",48.78232,Stuttgart,ST-229D997E,34.0,2000-06-01,Local,9.17702,DE,Europe
7,"510 Jill Mill
South Laura, FL 38723, Kaukauna",44.27804,Kaukauna,KA-FA7ED3B8,31.0,2022-09-05,Local,-88.27205,US,America
8,"3 Lee valleys
West Janetview
DY4M 2RL, Hartley",51.38673,Hartley,HA-974352FE,20.0,2004-09-11,Local,0.30367,GB,Europe
9,"Flat 37
Bennett expressway
New Charlotte
SY8R 5WE, Devizes",51.35084,Devizes,DE-585399CF,36.0,2014-10-11,Local,-1.99421,GB,Europe
10,"520 Fisher Inlet Suite 594
Port Eric, IL 71753, Crystal Lake",42.24113,CrystalLake,CR-792AA8BB,138.0,2018-04-05,Super Store,-88.3162,US,America
11,"Herma-Rädel-Gasse 29
74557 Fulda, Halstenbek",53.63333,Halstenbek,HA-39A446E2,38.0,1994-03-08,Local,9.85,DE,Europe
12,"4 Teresa lodge
West Mathewchester
SP39 3UZ, Lancing",50.82882,Lancing,LA-9B0D9277,39.0,2020-06-05,Local,-0.32247,GB,Europe
13,"74 Mills route
Laurahaven
PL4R 6HA, Newbury",51.40148,Newbury,NE-1D8B1D0C,33.0,2004-05-02,Local,-1.32471,GB,Europe
14,"9 Ryan springs
Lake Allan
E0 1AW, Lymington",50.75767,Lymington,LY-4C3D5D6C,36.0,2016-02-12,Local,-1.5443,GB,eeEurope
15,"Studio 80d
Holly cliffs
Ianport
G4F 4HR, Chapletown",53.46506,Chapletown,CH-6A561423,34.0,2008-01-21,Local,-1.47217,GB,Europe
16,"59 Lee drives
Georginaview
OL93 1GX, Barnet",51.65,Barnet,BA-898BDED3,109.0,2022-08-01,Super Store,-0.2,GB,Europe
17,"Flat 83
Shirley parkway
Sylviashire
N0 5AQ, East Dereham",52.68333,EastDereham,EA-77ECA680,8.0,1994-08-12,Mall Kiosk,0.93333,GB,Europe
18,"Flat 28
Kirby villages
West Vincent
CV4 0RT, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-38790FAE,25.0,2010-10-19,Local,-2.98333,GB,Europe
19,"Studio 00p
George point
West Barbara
S5J 3JT, Bushey",51.64316,Bushey,BU-251A0E5A,35.0,2013-08-05,Local,-0.36053,GB,Europe
20,"Rena-Karz-Gasse 574
66493 Olpe, Ehingen",48.28259,Ehingen,EH-91356030,38.0,2017-12-12,Local,9.72749,DE,Europe
21,"Flat 43d
Hall street
Susanshire
KA9 8HF, Aberdeen",57.14369,Aberdeen,AB-917B715E,119.0,2002-06-18,Super Store,-2.09814,GB,Europe
22,"12 William underpass
South Brettland
L3K 8BB, Surbiton",51.39148,Surbiton,SU-0B4C9A5F,28.0,2007-06-24,Local,-0.29825,GB,Europe
23,"08 Brenda valleys
North Stewartborough
TQ32 7FS, Inverness",57.47908,Inverness,IN-157E1191,29.0,2017-11-04,Local,-4.22398,GB,Europe
24,"Studio 94
Tina freeway
Woodshaven
YO93 9TU, Gainsborough",53.38333,Gainsborough,GA-DA8EEA4A,29.0,2008-07-08,Local,-0.76667,GB,Europe
25,"Flat 8
Cooper estates
Reidchester
KY14 4PW, Lancing",50.82882,Lancing,LA-2B59A825,25.0,1998-12-23,Local,-0.32247,GB,Europe
26,"Köhlerring 00
08489 Fulda, Weimar",50.9803,Weimar,WE-31C8B335,27.0,2011-03-11,Local,11.32903,DE,Europe
27,"Häringstr. 481
62852 Kamenz, Landshut",48.52961,Landshut,LA-F1042C48,34.0,2010-08-25,Local,12.16179,DE,Europe
28,"Flat 7
Chambers shoals
Carolyntown
SM2 0FQ, East Dereham",52.68333,EastDereham,EA-7965E06D,96.0,2016-10-07,Super Store,0.93333,GB,Europe
29,"Studio 1
Davidson harbor
Sheppardview
M9J 9LW, Penzance",50.11861,Penzance,PE-040B15C3,135.0,2018-08-15,Super Store,-5.53715,GB,Europe
30,"Sabina-Baum-Platz 4
10599 Wanzleben, Ehingen",48.28259,Ehingen,EH-DB8676C1,28.0,1996-10-02,Local,9.72749,DE,Europe
31,"Fechnerweg 6
72000 Greiz, Albstadt",48.21644,Albstadt,AL-91D3A03C,30.0,2018-06-18,Local,9.02596,DE,Europe
32,"Kensyring 567
46539 Oschatz, Hechingen",48.35149,Hechingen,HE-E39F4BC6,31.0,1995-06-04,Local,8.96317,DE,Europe
33,"978 Daniel viaduct
Johnsonville
E1A 7TW, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-47A01287,29.0,1994-10-18,Local,-2.98333,GB,Europe
34,"Flat 8
Grace radial
Georginashire
W06 1BZ, Lancing",50.82882,Lancing,LA-D78C5F3F,28.0,2002-07-21,Local,-0.32247,GB,Europe
35,"Studio 55A
Ali brooks
Pearceburgh
SW8 2RT, Mexborough",53.49389,Mexborough,ME-31958763,90.0,2013-12-23,Outlet,-1.29243,GB,Europe
36,"420 Harrison way
Whitemouth
E4 5RZ, Arbroath",56.56317,Arbroath,AR-5E72668B,34.0,2006-10-04,Local,-2.58736,GB,Europe
37,"7 Sophie ways
East Kevinborough
TD1M 0FG, Cowes",50.76306,Cowes,CO-CB3D8C89,120.0,1999-07-17,Super Store,-1.29772,GB,Europe
38,"Studio 46k
Phillips hollow
South Eileen
G21 2EA, Clacton-on-Sea",51.78967,ClactononSea,CL-5C7C3198,50.0,1998-12-19,Outlet,1.15597,GB,Europe
39,"92863 Kathryn Ford Suite 747
East Craig, DC 24439, Boston",42.35843,Boston,BO-17E7B6CE,75.0,2019-07-28,Super Store,-71.05977,US,America
40,"Bertold-Nette-Allee 7/8
32669 Chemnitz, Charlottenburg-Nord",52.53048,CharlottenburgNord,CH-619E036C,118.0,2017-10-21,Super Store,13.29371,DE,Europe
41,"Lindauweg 7
89647 Luckau, Bretten",49.03685,Bretten,BR-BC499EDD,37.0,2020-05-13,Local,8.70745,DE,Europe
42,"Flat 85Q
George field
Barrettbury
BS2B 5WR, Newbury",51.40148,Newbury,NE-E50207AD,67.0,2019-12-24,Super Store,-1.32471,GB,eeEurope
43,"2 Jade corners
South Ashleybury
W1 0RE, Belper",53.0233,Belper,BE-8C0CF738,26.0,2002-04-03,Local,-1.48119,GB,Europe
44,"Studio 1
Brandon branch
Francescaview
TD4N 2XL, Newbury",51.40148,Newbury,NE-374D3983,20.0,2009-08-07,Local,-1.32471,GB,eeEurope
45,"0493 Alicia Station Suite 475
Elizabethfort, RI 70019, Sun City Center",27.71809,SunCityCenter,SU-95D20AE9,30.0,2004-05-23,Local,-82.35176,US,America
46,"9 Parker lake
West Edwardview
SP04 5ZX, Mexborough",53.49389,Mexborough,ME-FB62E459,40.0,2001-07-11,Local,-1.29243,GB,Europe
47,"Mosemannstr. 81
30877 Schrobenhausen, Karben",50.23019,Karben,KA-653E783F,36.0,1998-07-07,Local,8.77155,DE,Europe
48,"220 Holt Unions Suite 688
Ramirezstad, IL 74968, Martinsburg",39.45621,Martinsburg,MA-F0E23355,8.0,2011-07-07,Mall Kiosk,-77.96389,US,America
49,"Trommlerstr. 7/5
75372 Wolfach, Oschatz",51.30001,Oschatz,OS-70B2CD28,36.0,2007-02-04,Local,13.10984,DE,Europe
50,"Flat 26c
Walker creek
South Mary
HU8X 8YP, Kingston upon Hull",53.7446,KingstonuponHull,KI-A53AF10A,6.0,1993-10-13,Mall Kiosk,-0.33525,GB,Europe
51,"Flat 40w
Thomas wall
South Susan
LL4 8LG, Leyland",53.69786,Leyland,LE-63F3D33B,25.0,2006-06-16,Local,-2.68758,GB,Europe
52,"9066 Rosales Port Suite 675
Meyerville, NV 79336, Venice",27.09978,Venice,VE-93DA8430,22.0,2006-02-23,Local,-82.45426,US,eeAmerica
53,"Studio 57
Edwards springs
Johnsonbury
B52 8TN, High Wycombe",51.62907,HighWycombe,HI-BAD4DD1C,24.0,2019-09-08,Local,-0.74934,GB,Europe
54,"664 Andrew land
New Mohammadhaven
N07 9JZ, Rutherglen",55.82885,Rutherglen,RU-1994A94D,83.0,1993-09-03,Outlet,-4.21376,GB,Europe
55,"21 Michael plains
Port Garethburgh
BL6 5PJ, Leyland",53.69786,Leyland,LE-84C48B9F,138.0,2002-01-18,Super Store,-2.68758,GB,Europe
56,"Baumstraße 904
47265 Hildesheim, Schleswig",54.52156,Schleswig,SC-4928418D,82.0,2009-04-14,Super Store,9.5586,DE,Europe
57,"Martha-Dörr-Platz 1/3
53035 Bad Mergentheim, Eppingen",49.13645,Eppingen,EP-105C3FB5,27.0,2014-07-16,Local,8.91229,DE,Europe
58,"446 Edwards circle
South Dean
S5 5NT, Chapletown",53.46506,Chapletown,CH-7771B336,32.0,2012-05-15,Local,-1.47217,GB,Europe
59,"Heinrichgasse 96
70197 Sömmerda, Losheim",49.5099,Losheim,LO-AB6B6DF8,117.0,2006-01-13,Super Store,6.74549,DE,Europe
60,"Mario-Wirth-Gasse 598
60452 Cloppenburg, Burscheid",51.08468,Burscheid,BU-44F16401,22.0,2019-01-11,Local,7.11393,DE,Europe
61,"Studio 44
Lynda village
New Alexanderbury
N66 2PJ, Rutherglen",55.82885,Rutherglen,RU-9DF20437,7.0,1994-05-26,Mall Kiosk,-4.21376,GB,Europe
62,"Magarete-Caspar-Weg 37
58039 Melsungen, Ehingen",48.28259,Ehingen,EH-DB65F258,21.0,2015-02-16,Local,9.72749,DE,Europe
63,"Flat 81A
Leonard glens
East Kayleigh
N8J 4SX, Southsea",50.79205,Southsea,SO-6D328417,132.0,2002-03-30,Super Store,-1.08593,GB,Europe
64,"406 Charles Ramp
Port Jessicaview, WI 37544, Porterville",36.06523,Porterville,PO-EB96293A,36.0,2003-04-19,Local,-119.01677,US,America
65,"Gorlitzweg 0/4
49302 Waldmünchen, Walsrode",52.86147,Walsrode,WA-34998EB8,7.0,2017-04-15,Mall Kiosk,9.5926,DE,Europe
66,"Studio 9
Dunn summit
Thomasfurt
RH8 4TZ, Exeter",50.7236,Exeter,EX-2C210EBF,37.0,1997-01-16,Local,-3.52751,GB,Europe
67,"122 Gray heights
Holmesview
S2U 7LP, Chapletown",53.46506,Chapletown,CH-164A23FB,29.0,2017-10-11,Local,-1.47217,GB,Europe
68,"Studio 13
Russell ports
South Ricky
CR3B 4BA, Gainsborough",53.38333,Gainsborough,GA-BA05E5A8,131.0,2012-08-16,Super Store,-0.76667,GB,Europe
69,"942 Field passage
Scottland
WD85 7UG, Chapletown",53.46506,Chapletown,CH-A44B48E6,130.0,1998-12-12,Super Store,-1.47217,GB,Europe
70,"77 Jordan corner
New Kathleen
SP0 9HU, Thetford",52.41667,Thetford,TH-D62B06B7,26.0,1996-04-19,Local,0.75,GB,Europe
71,"Yusuf-Christoph-Straße 784
00736 Koblenz, Landshut",48.52961,Landshut,LA-6AAC1779,70.0,2001-08-01,Outlet,12.16179,DE,Europe
72,"91374 Stanley Rapid Apt. 083
South Christian, MI 26541, Morningside Heights",40.81,MorningsideHeights,MO-E8CFF8FE,40.0,2004-12-19,Local,-73.9625,US,America
73,"Ottomar-Gutknecht-Platz 7
52829 Fulda, Losheim",49.5099,Losheim,LO-D54E72B5,20.0,1998-12-20,Local,6.74549,DE,Europe
74,"35 Collier tunnel
East Nicola
LA0 9LZ, East Dereham",52.68333,EastDereham,EA-BE6D0CF8,29.0,1999-11-14,Local,0.93333,GB,Europe
75,"Studio 26
Anderson plain
Williamston
BT4P 5NN, Belper",53.0233,Belper,BE-F4596696,23.0,2008-02-04,Local,-1.48119,GB,Europe
76,"Vincenzo-Lübs-Weg 8
59427 Eisenberg, Weimar",50.9803,Weimar,WE-5B0343D9,51.0,2009-08-19,Outlet,11.32903,DE,Europe
77,"Zahnstraße 7/0
50265 Plauen, Schleswig",54.52156,Schleswig,SC-8724E112,118.0,2002-09-30,Super Store,9.5586,DE,eeEurope
78,"5608 Jason Falls Apt. 917
Ericaside, ND 55443, Searcy",35.25064,Searcy,SE-F428A035,34.0,2012-05-10,Local,-91.73625,US,America
79,"154 Arthur view
Port Emma
N5 6SH, Surbiton",51.39148,Surbiton,SU-40E3321A,127.0,2010-03-16,Super Store,-0.29825,GB,Europe
80,"549 Watson highway
Marcusport
E2 3WZ, Exeter",50.7236,Exeter,EX-9ED6711E,4.0,1999-12-10,Mall Kiosk,-3.52751,GB,Europe
81,"772 Jacqueline brook
Lake Derek
N2J 0ZZ, Bushey",51.64316,Bushey,BU-550D8325,33.0,2018-02-18,Local,-0.36053,GB,Europe
82,"Gießring 51
99214 Querfurt, Landshut",48.52961,Landshut,LA-9F489A77,34.0,2011-05-02,Local,12.16179,DE,Europe
83,"Kirsten-Geißler-Allee 5
87776 Pinneberg, Radevormwald",51.20219,Radevormwald,RA-583F0CF9,135.0,2010-03-15,Super Store,7.36027,DE,Europe
84,"268 Johnson keys
West Josephinehaven
W1 7ST, Newbury",51.40148,Newbury,NE-01250B4B,30.0,2021-03-12,Local,-1.32471,GB,Europe
85,"Cosimo-Rose-Ring 1/5
86826 Dieburg, Charlottenburg-Nord",52.53048,CharlottenburgNord,CH-7C155EA7,110.0,2011-03-27,Super Store,13.29371,DE,Europe
86,"Manja-Wirth-Ring 7
99585 Grimma, Stade",53.59337,Stade,ST-4D2E1D55,30.0,2005-04-28,Local,9.47629,DE,Europe
87,"Studio 43
Liam club
New Garyview
HX7 3PG, Arbroath",56.56317,Arbroath,AR-2D9D5CD3,5.0,2000-12-29,Mall Kiosk,-2.58736,GB,Europe
88,"14577 Thomas Station
North Andrew, SD 63439, Mira Mesa",32.9156,MiraMesa,MI-20EE1BFA,20.0,2006-07-07,Local,-117.14392,US,America
89,"Steffen-Boucsein-Straße 1
45299 Osterburg, Burscheid",51.08468,Burscheid,BU-89E4DEC5,7.0,2017-01-09,Mall Kiosk,7.11393,DE,Europe
90,"Cichoriusplatz 61
10993 Niesky, Verl",51.88333,Verl,VE-B81F9500,4.0,2000-07-10,Mall Kiosk,8.51667,DE,Europe
91,"Marvin-Schmiedt-Straße 40
41235 Erkelenz, Wesseling",50.82709,Wesseling,WE-DC3933D4,21.0,1997-08-29,Local,6.9747,DE,Europe
92,"Studio 26
Paula coves
East Samuelfurt
EH17 8TE, Clacton-on-Sea",51.78967,ClactononSea,CL-0FB1065C,28.0,2021-04-17,Local,1.15597,GB,Europe
93,"Walli-Ullrich-Ring 94
22096 Mallersdorf, Pfullingen",48.46458,Pfullingen,PF-D90B564A,6.0,1997-12-01,Mall Kiosk,9.22796,DE,Europe
94,"Geißlerplatz 5
53713 Nördlingen, Bensheim",49.68369,Bensheim,BE-028A2748,85.0,2005-10-31,Outlet,8.61839,DE,Europe
95,"Flat 56X
Wayne fields
Webbside
BL8R 2QU, Southsea",50.79205,Southsea,SO-6D546AD2,41.0,2011-09-25,Outlet,-1.08593,GB,Europe
96,"0 Molly keys
Duncanton
HD7Y 4DU, High Wycombe",51.62907,HighWycombe,HI-BED70096,57.0,1994-11-01,Outlet,-0.74934,GB,Europe
97,"64 Hayes crossing
Port Ellieville
G7S 1XQ, Walton-on-the-Naze",51.84819,WaltonontheNaze,WA-FF3389AF,4.0,2001-02-16,Mall Kiosk,1.26738,GB,Europe
98,"822 Marsh mews
Francishaven
BR3X 2XJ, Chapletown",53.46506,Chapletown,CH-7E92F288,7.0,2003-08-08,Mall Kiosk,-1.47217,GB,Europe
99,"Minna-Juncken-Gasse 906
83233 Husum, Friedberg",48.35693,Friedberg,FR-C04291C3,33.0,2012-02-15,Local,10.98461,DE,Europe
100,"Sauerring 09
84370 Bernburg, Stuttgart",48.78232,Stuttgart,ST-B754F535,33.0,2021-06-26,Local,9.17702,DE,Europe
101,"Flat 84
Morrison freeway
Wardbury
EC62 7LZ, Arbroath",56.56317,Arbroath,AR-E8FDEB2B,20.0,2010-07-15,Local,-2.58736,GB,Europe
102,"Flat 9
Morris well
Webbmouth
W7 6FF, Lymington",50.75767,Lymington,LY-FC3B1157,37.0,1993-05-06,Local,-1.5443,GB,Europe
103,"0 Smith camp
Masonchester
SK23 1WD, Belper",53.0233,Belper,BE-09F94471,34.0,2012-09-15,Local,-1.48119,GB,Europe
104,"Flat 60t
Berry squares
Clarkstad
CR0 6RQ, Gainsborough",53.38333,Gainsborough,GA-400CC35C,7.0,2021-06-16,Mall Kiosk,-0.76667,GB,Europe
105,"Studio 82
Rosemary drive
Scottside
CM7W 7XQ, Winsford",53.19146,Winsford,WI-56B02C82,35.0,1999-11-05,Local,-2.52398,GB,Europe
106,"Flat 0
Hobbs avenue
East Diana
M9 8XN, High Wycombe",51.62907,HighWycombe,HI-F2784D72,38.0,2008-02-27,Local,-0.74934,GB,Europe
107,"Studio 6
Anthony drive
New Ricky
WF8 6HA, Mexborough",53.49389,Mexborough,ME-D9ECD7DF,21.0,2019-07-12,Local,-1.29243,GB,Europe
108,"7 Saunders divide
East Malcolm
W2 5FA, Leyland",53.69786,Leyland,LE-14B7245B,102.0,2022-08-31,Super Store,-2.68758,GB,Europe
109,"7 Richards stravenue
West Allan
S1T 1BY, Rutherglen",55.82885,Rutherglen,RU-AE12736B,29.0,2008-03-27,Local,-4.21376,GB,Europe
110,"4 Taylor plaza
Deanview
L1 2XR, Lancing",50.82882,Lancing,LA-DE474D42,36.0,2019-08-07,Local,-0.32247,GB,Europe
111,"Linkeallee 7/3
66084 Füssen, Karben",50.23019,Karben,KA-9D87BC15,69.0,2010-07-23,Super Store,8.77155,DE,Europe
112,"Flat 62
Ellis mountain
Brettport
RM53 0AQ, Chapletown",53.46506,Chapletown,CH-DCCDE05E,29.0,2013-11-17,Local,-1.47217,GB,Europe
113,"Flat 1
Beverley islands
Lake Sheila
M8 1UU, Chapletown",53.46506,Chapletown,CH-FBB32B94,30.0,2011-06-18,Local,-1.47217,GB,Europe
114,"Knappering 09
35944 Wertingen, Stade",53.59337,Stade,ST-10F19C97,20.0,2001-11-28,Local,9.47629,DE,Europe
115,"694 Parker Unions
South Rebeccatown, GU 66824, Newburgh",41.50343,Newburgh,NE-C83B8B22,21.0,2014-07-03,Local,-74.01042,US,America
116,"247 Melanie forge
North Nathan
N70 7ZZ, Surbiton",51.39148,Surbiton,SU-346D5CF2,31.0,2021-02-27,Local,-0.29825,GB,Europe
117,"22 Hussain rue
Boothport
M24 9LZ, Bushey",51.64316,Bushey,BU-784362E0,127.0,2015-12-13,Super Store,-0.36053,GB,Europe
118,"Studio 45r
West falls
Traceyfurt
L7 9NA, Arbroath",56.56317,Arbroath,AR-0C5116E4,82.0,2008-09-01,Outlet,-2.58736,GB,Europe
119,"Keudelallee 65
00759 Mallersdorf, Oberhausen",51.47805,Oberhausen,OB-7A4A9012,20.0,1996-06-05,Local,6.8625,DE,Europe
120,"Seipallee 4
20802 Göppingen, Radevormwald",51.20219,Radevormwald,RA-2A22B217,103.0,2007-02-03,Super Store,7.36027,DE,Europe
121,"Studio 39t
Gavin drives
Cartwrightberg
CH1 6SJ, Westbury",51.26,Westbury,WE-605028E4,32.0,1993-09-28,Local,-2.1875,GB,Europe
122,"Zimmerweg 693
26271 Havelberg, Pfullingen",48.46458,Pfullingen,PF-1D7B0646,68.0,1995-11-07,Super Store,9.22796,DE,Europe
123,"Flat 0
Taylor grove
Jamesshire
G1D 5RD, Lancing",50.82882,Lancing,LA-77BE2ADA,37.0,2002-08-16,Local,-0.32247,GB,eeEurope
124,"Hans-Eberhard-Franke-Gasse 1/0
40343 Rostock, Zeitz",51.04962,Zeitz,ZE-BBF02AEA,31.0,2002-07-30,Local,12.1369,DE,Europe
125,"Studio 35o
Sylvia place
Howardstad
TS14 7XJ, Viewpark",55.82737,Viewpark,VI-BCBBC21A,90.0,2014-09-03,Outlet,-4.0573,GB,Europe
126,"9 Tom gardens
Shanefurt
CV4X 0LU, Winsford",53.19146,Winsford,WI-37616D0E,37.0,2000-08-19,Local,-2.52398,GB,Europe
127,"847 Joe spur
Marshallmouth
M71 2LP, Rhosllanerchrugog",53.00974,Rhosllanerchrugog,RH-F3E200B7,6.0,2006-07-26,Mall Kiosk,-3.05814,GB,Europe
128,"984 Marshall causeway
West Francis
CF8W 2BQ, Bushey",51.64316,Bushey,BU-19BB50F6,31.0,2007-02-28,Local,-0.36053,GB,Europe
129,"Süßebiergasse 4
30238 Mettmann, Marburg an der Lahn",50.80904,MarburganderLahn,MA-316BDC6E,83.0,2011-11-06,Outlet,8.77069,DE,Europe
130,"Studio 01
Reynolds skyway
Lake Martynmouth
RG9A 5QL, Clacton-on-Sea",51.78967,ClactononSea,CL-C183BE4B,99.0,1998-12-19,Super Store,1.15597,GB,Europe
131,"39869 Jessica Square Suite 441
Barbaraborough, NV 37780, Waverly",42.7392,Waverly,WA-F4396DF8,29.0,1993-11-24,Local,-84.62081,US,America
132,"Eleni-Trommler-Allee 180
78345 Stendal, Marburg an der Lahn",50.80904,MarburganderLahn,MA-0D207813,66.0,1995-12-30,Outlet,8.77069,DE,Europe
133,"Flat 84
Irene track
Hammondhaven
KY28 0FZ, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-99029708,51.0,2006-10-18,Outlet,-2.98333,GB,Europe
134,"847 Lewis crossing
Dayberg
EN7 0SP, Gainsborough",53.38333,Gainsborough,GA-190B3F6D,24.0,2003-04-07,Local,-0.76667,GB,eeEurope
135,"Studio 7
Patel motorway
Stevenburgh
B0C 8JF, Bushey",51.64316,Bushey,BU-5B54171E,37.0,1997-02-07,Local,-0.36053,GB,Europe
136,"Flat 7
Bond passage
Port Katefurt
CA9 5AX, Clacton-on-Sea",51.78967,ClactononSea,CL-DA5365DF,39.0,2005-08-01,Local,1.15597,GB,Europe
137,"0 Wall cliff
East Kevin
ML7A 6LS, Surbiton",51.39148,Surbiton,SU-5F78B30A,29.0,2006-02-20,Local,-0.29825,GB,Europe
138,"Studio 89H
Clark trafficway
Lake Joanna
KY9 4SZ, Lymington",50.75767,Lymington,LY-89B9F675,29.0,1994-08-09,Local,-1.5443,GB,Europe
139,"Heinz-Wilhelm-Boucsein-Ring 6
03556 Zerbst, Hechingen",48.35149,Hechingen,HE-2908B53E,21.0,2021-02-20,Local,8.96317,DE,Europe
140,"7 Arnold lodge
Sophiemouth
B3 6NN, Arbroath",56.56317,Arbroath,AR-D3FDDD1D,124.0,2019-12-08,Super Store,-2.58736,GB,Europe
