,address,longitude,locality,store_code,staff_numbers,opening_date,store_type,latitude,country_code,continent
141,"Erdal-Jacob-Ring 9
39042 Bad Freienwalde, Siegburg",50.80019,Siegburg,SI-66F97423,74.0,2008-03-08,Super Store,7.20769,DE,Europe
142,"Hentschelstraße 5
48646 Gunzenhausen, Pfullingen",48.46458,Pfullingen,PF-BADFAEDC,8.0,2014-05-24,Mall Kiosk,9.22796,DE,Europe
143,"2 Joan meadow
Perkinsbury
WF3 7YX, Newbury",51.40148,Newbury,NE-EE2A190D,87.0,2015-02-12,Super Store,-1.32471,GB,Europe
144,"Studio 80
Baxter valleys
Collinsfurt
G0 6WT, Selby",53.78333,Selby,SE-596EAA50,6.0,1994-09-10,Mall Kiosk,-1.06667,GB,Europe
145,"Ottoplatz 4
95953 Nürtingen, Radevormwald",51.20219,Radevormwald,RA-C25EE56A,34.0,2005-01-04,Local,7.36027,DE,Europe
146,"Hans-Christian-Zahn-Platz 856
77913 Saulgau, Ehingen",48.28259,Ehingen,EH-BB9AECF5,26.0,2006-05-22,Local,9.72749,DE,Europe
147,"Tröstplatz 5
15926 Wittmund, Pfullingen",48.46458,Pfullingen,PF-F95902BC,23.0,2018-05-26,Local,9.22796,DE,eeEurope
148,"78005 Steele Orchard Apt. 098
East Jennifer, AZ 80303, Crystal Lake",42.24113,CrystalLake,CR-6B885B5E,25.0,2001-11-11,Local,-88.3162,US,America
149,"Studio 81
Chamberlain lights
North Emmashire
IP2 3AU, Hartley",51.38673,Hartley,HA-1BAE9B71,7.0,2006-06-15,Mall Kiosk,0.30367,GB,Europe
150,"Guiseppe-Bauer-Weg 775
25489 Döbeln, Memmingen",47.98372,Memmingen,ME-B363FDAA,22.0,2005-12-23,Local,10.18527,DE,Europe
151,"Juergen-Loos-Straße 0/8
93137 Mettmann, Trossingen",48.07667,Trossingen,TR-4E1AF636,23.0,2022-06-21,Local,8.64409,DE,Europe
152,"Flat 73c
Ben junctions
North Katy
E8J 7RE, Viewpark",55.82737,Viewpark,VI-43751A71,122.0,2003-11-19,Super Store,-4.0573,GB,eeEurope
153,"Marijan-Dehmel-Straße 0/8
24704 Germersheim, Dahlem",52.4581,Dahlem,DA-D9DC550B,25.0,1998-04-22,Local,13.28702,DE,Europe
154,"Ekrem-Tintzmann-Weg 424
02111 Oberviechtach, Landshut",48.52961,Landshut,LA-347073D1,28.0,2011-03-27,Local,12.16179,DE,Europe
155,"Studio 00
Murray course
Lake Gail
CH69 7TE, Viewpark",55.82737,Viewpark,VI-9A93E3E2,38.0,2013-04-29,Local,-4.0573,GB,Europe
156,"Haasegasse 1/3
07219 Pinneberg, Charlottenburg-Nord",52.53048,CharlottenburgNord,CH-6D105C69,5.0,2004-01-27,Mall Kiosk,13.29371,DE,Europe
157,"Dunja-Oderwald-Gasse 785
97452 Konstanz, Stuttgart",48.78232,Stuttgart,ST-06E21C4A,23.0,2008-03-31,Local,9.17702,DE,Europe
158,"Lidia-Zobel-Straße 922
51389 Mallersdorf, Friedberg",48.35693,Friedberg,FR-0FA7D921,31.0,2012-03-15,Local,10.98461,DE,eeEurope
159,"Studio 79w
Hazel heights
New Harry
E4C 8DA, Clacton-on-Sea",51.78967,ClactononSea,CL-361E75EC,112.0,2001-05-20,Super Store,1.15597,GB,Europe
160,"Flat 48W
Thompson forest
West Maria
N84 4LE, Walton-on-the-Naze",51.84819,WaltonontheNaze,WA-905645E6,36.0,2010-08-09,Local,1.26738,GB,Europe
161,"Studio 6
Baldwin ports
Lake Lewis
G2 3EE, Lymington",50.75767,Lymington,LY-73842BE8,23.0,2012-11-28,Local,-1.5443,GB,Europe
162,"Losekannplatz 687
06653 Potsdam, Halstenbek",53.63333,Halstenbek,HA-B6953307,8.0,1993-10-02,Mall Kiosk,9.85,DE,Europe
163,"02 Norman flats
North Nigelburgh
WD7M 1UN, Belper",53.0233,Belper,BE-F9462A80,100.0,2019-01-16,Super Store,-1.48119,GB,Europe
164,"48 Willis dale
North Dylan
S8W 2NG, Strood",51.39323,Strood,ST-3C93FBF2,26.0,2014-08-19,Local,0.47713,GB,Europe
165,"Kruschwitzplatz 13
02034 Hainichen, Marburg an der Lahn",50.80904,MarburganderLahn,MA-20E6EB37,35.0,2004-09-13,Local,8.77069,DE,Europe
166,"Studio 0
Jennings spur
Gregoryville
NN3 4BB, High Wycombe",51.62907,HighWycombe,HI-F27C7A84,71.0,2007-07-21,Outlet,-0.74934,GB,Europe
167,"Flat 50
Sam extension
Wilsonview
FY1W 9BA, Thetford",52.41667,Thetford,TH-D94B2E76,30.0,2015-01-08,Local,0.75,GB,Europe
168,"40 Powell lock
Kayborough
DG6 0ZS, Lower Earley",51.42708,LowerEarley,LO-3DD01CA8,6.0,2021-06-20,Mall Kiosk,-0.91979,GB,Europe
169,"Sontagweg 54
94925 Erfurt, Barmbek-Nord",53.6052,BarmbekNord,BA-8BA66AA0,33.0,2006-02-03,Local,10.03988,DE,Europe
170,"Sagerstr. 64
93083 Leipziger Land, Bad Segeberg",53.94313,BadSegeberg,BA-3A37248A,69.0,2011-11-27,Super Store,10.30215,DE,Europe
171,"Flat 25
Chapman turnpike
Matthewsborough
MK0 4RG, Inverness",57.47908,Inverness,IN-8A98027C,99.0,1993-03-17,Super Store,-4.22398,GB,Europe
172,"Benthinallee 25
56122 Schongau, Charlottenburg-Nord",52.53048,CharlottenburgNord,CH-42F9D8D8,20.0,2005-04-26,Local,13.29371,DE,Europe
173,"Studio 26
Davies skyway
West Elizabeth
E24 2TR, Arbroath",56.56317,Arbroath,AR-F938FB8E,27.0,2015-02-13,Local,-2.58736,GB,Europe
174,"Wolf-Thies-Weg 032
36732 Höxter, Zeitz",51.04962,Zeitz,ZE-EA9C82AA,40.0,2001-02-19,Local,12.1369,DE,Europe
175,"Studio 53
Glen isle
New Stewarttown
M59 5XA, Exeter",50.7236,Exeter,EX-41AC3888,24.0,2010-07-19,Local,-3.52751,GB,Europe
176,"Flat 48U
Clark mount
New Allan
BA9A 8XX, Chapletown",53.46506,Chapletown,CH-E1344D81,28.0,1997-07-01,Local,-1.47217,GB,Europe
177,"Flat 18
Phillips lane
Lynntown
CF8H 8QU, Great Wyrley",52.66277,GreatWyrley,GR-18E26E0C,34.0,1999-11-19,Local,-2.01111,GB,Europe
178,"295 Foster haven
Edwardsfurt
M4 8ZJ, Viewpark",55.82737,Viewpark,VI-B13ACF87,33.0,2000-08-02,Local,-4.0573,GB,Europe
179,"Luka-Adolph-Platz 8/7
49973 Halberstadt, Ehingen",48.28259,Ehingen,EH-945D8F25,81.0,2000-06-28,Super Store,9.72749,DE,Europe
180,"77 Eleanor fork
Wrightmouth
FK9 4BH, Mexborough",53.49389,Mexborough,ME-C1AF27C3,130.0,2001-03-08,Super Store,-1.29243,GB,Europe
181,"0 Mason islands
Lake Katyview
L3U 0EX, Penzance",50.11861,Penzance,PE-52B1E131,25.0,2012-05-02,Local,-5.53715,GB,Europe
182,"Studio 46
Julia points
North Gareth
BL4P 4NS, Rutherglen",55.82885,Rutherglen,RU-BFF916C5,128.0,2001-05-23,Super Store,-4.21376,GB,eeEurope
183,"Hülya-Reinhardt-Ring 8/8
84222 Hannoversch Münden, Landshut",48.52961,Landshut,LA-BC0455E1,7.0,2005-08-05,Mall Kiosk,12.16179,DE,Europe
184,"55 Phillip place
Jasmineberg
SW6 3YS, Belper",53.0233,Belper,BE-9A378A7F,22.0,2015-02-03,Local,-1.48119,GB,Europe
185,"7 Russell greens
New Jessica
M5A 5GL, Lancing",50.82882,Lancing,LA-C1E143DE,138.0,2006-10-03,Super Store,-0.32247,GB,Europe
186,"Nuray-Lorch-Ring 4/0
84116 Grevesmühlen, Nidderau",50.23805,Nidderau,NI-D757F308,27.0,1997-05-01,Local,8.86704,DE,Europe
187,"9 Chelsea trace
Mooremouth
CT32 6HG, Hartley",51.38673,Hartley,HA-859769AF,30.0,2019-09-04,Local,0.30367,GB,Europe
188,"Dörrstr. 4/6
74777 Neubrandenburg, Walsrode",52.86147,Walsrode,WA-0E6E657C,76.0,2013-06-04,Super Store,9.5926,DE,Europe
189,"Flat 77
Shaw underpass
Lake Mandy
G8C 2NE, Strood",51.39323,Strood,ST-1DAA85E6,77.0,2014-09-17,Super Store,0.47713,GB,Europe
190,"82 Pauline island
Port Gail
PA6 6XQ, Winsford",53.19146,Winsford,WI-1BEEB9CA,137.0,2021-01-12,Super Store,-2.52398,GB,Europe
191,"7 Wright run
South Adrian
N6A 1LX, Hartley",51.38673,Hartley,HA-41E65DD9,119.0,2019-11-23,Super Store,0.30367,GB,Europe
192,"516 Robinson Street Apt. 867
West Donna, NJ 95809, Jersey City",40.72816,JerseyCity,JE-3AF1D134,38.0,2015-10-02,Local,-74.07764,US,America
193,"97 Jones village
Lynnestad
EH0H 7WL, Kingston upon Hull",53.7446,KingstonuponHull,KI-967D1E81,20.0,2013-03-30,Local,-0.33525,GB,eeEurope
194,"Dippelweg 175
28510 Spremberg, Barmbek-Nord",53.6052,BarmbekNord,BA-B0933185,85.0,2007-12-15,Super Store,10.03988,DE,Europe
195,"Studio 89
Rice freeway
Taylorshire
N22 1NT, Bushey",51.64316,Bushey,BU-3020DF6C,36.0,2020-08-22,Local,-0.36053,GB,Europe
196,"Mariola-Stey-Weg 67
59162 Bad Kreuznach, Friedberg",48.35693,Friedberg,FR-91D11D69,51.0,2007-12-21,Outlet,10.98461,DE,Europe
197,"Flat 2
Gibson stream
Thorpeview
AL14 1ZX, Strood",51.39323,Strood,ST-32641EC1,33.0,1996-10-26,Local,0.47713,GB,Europe
198,"Wanda-Etzold-Gasse 1
80729 Finsterwalde, Schleswig",54.52156,Schleswig,SC-ADA59883,32.0,2017-05-21,Local,9.5586,DE,Europe
199,"Studio 52
Brown place
New Kimland
WC2 0HD, Gainsborough",53.38333,Gainsborough,GA-2252ED9A,31.0,2009-11-19,Local,-0.76667,GB,Europe
200,"Studio 26e
Miles port
Vincentfurt
G2 0PL, Westbury",51.26,Westbury,WE-298C66F0,111.0,1998-02-27,Super Store,-2.1875,GB,Europe
201,"303 Abdul cliffs
Sandersmouth
NR18 5HB, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-3A1A12CD,58.0,2000-06-23,Outlet,-2.98333,GB,Europe
202,"Flat 81
Gardner mission
North Leighton
ZE25 5WP, Cowes",50.76306,Cowes,CO-EAEDFFF3,30.0,2008-03-20,Local,-1.29772,GB,Europe
203,"Tina-Döring-Gasse 68
95518 Calw, Gauting",48.06919,Gauting,GA-846D92B4,28.0,1995-04-22,Local,11.37703,DE,Europe
204,"Flat 75b
Robert courts
Adamsstad
PA4B 9HF, Westbury",51.26,Westbury,WE-54DE559C,33.0,2016-10-31,Local,-2.1875,GB,Europe
205,"Flat 08f
Francis flat
West Kathrynstad
SE69 3RR, Penzance",50.11861,Penzance,PE-60C328DB,20.0,2013-10-25,Local,-5.53715,GB,Europe
206,"9 Walker skyway
South Naomimouth
W58 1FA, Blackpool",53.81667,Blackpool,BL-8387506C,33.0,2021-05-19,Local,-3.05,GB,Europe
207,"Strohplatz 83
98919 Perleberg, Oberhausen",51.47805,Oberhausen,OB-B57D2016,82.0,2014-05-21,Super Store,6.8625,DE,Europe
208,"0885 Smith Summit
South Heather, DC 76175, Redding",40.58654,Redding,RE-4D07B5F2,33.0,2003-04-04,Local,-122.39168,US,America
209,"Schleichallee 0
69754 Naila, Hofheim am Taunus",50.09019,HofheimamTaunus,HO-85D2BA5B,82.0,2016-02-06,Super Store,8.4493,DE,Europe
210,"Nelli-Täsche-Gasse 7
02190 Dinslaken, Verl",51.88333,Verl,VE-EE7A1F48,118.0,2010-05-21,Super Store,8.51667,DE,Europe
211,"Flat 78
Higgins ports
Lloydfort
LN0X 1AE, Rhosllanerchrugog",53.00974,Rhosllanerchrugog,RH-AB6C3782,27.0,2015-02-19,Local,-3.05814,GB,Europe
212,"68 Briggs cliff
Scottton
S05 6HX, Aberdeen",57.14369,Aberdeen,AB-316DE4BA,37.0,1993-11-21,Local,-2.09814,GB,Europe
213,"1 Charlene summit
East Terence
EH0 7FH, Lancing",50.82882,Lancing,LA-F0652295,33.0,2018-02-13,Local,-0.32247,GB,Europe
214,"5 Gough park
Baldwinshire
KA39 6EQ, East Dereham",52.68333,EastDereham,EA-6B5D31D8,56.0,1994-09-16,Outlet,0.93333,GB,Europe
215,"Studio 5
Charlotte park
Bethanyview
L99 4EA, Belper",53.0233,Belper,BE-2DE7E6FD,72.0,2013-11-19,Outlet,-1.48119,GB,Europe
216,"van der Dussenallee 980
73428 Karlsruhe, Hofheim am Taunus",50.09019,HofheimamTaunus,HO-978C59DC,87.0,2014-04-07,Outlet,8.4493,DE,Europe
217,"833 Amanda well
Elliotttown
CM38 7DQ, Kingston upon Hull",53.7446,KingstonuponHull,KI-AF3A421C,32.0,2006-05-04,Local,-0.33525,GB,Europe
218,"Flat 16
Josephine streets
Lesliebury
SG38 6QB, Chapletown",53.46506,Chapletown,CH-C9AB9518,40.0,2006-08-23,Local,-1.47217,GB,Europe
219,"Studio 66
Jill lodge
Pottston
HR8 4QD, Rutherglen",55.82885,Rutherglen,RU-514020AC,80.0,2015-03-20,Super Store,-4.21376,GB,Europe
220,"Ottomar-Mans-Gasse 67
61565 Hofgeismar, Wittenau",52.59319,Wittenau,WI-5CDC1053,101.0,2018-10-03,Super Store,13.32127,DE,Europe
221,"23220 Christine Passage
Lake Karen, ME 66805, Mira Mesa",32.9156,MiraMesa,MI-D57825AA,4.0,2000-02-12,Mall Kiosk,-117.14392,US,America
222,"2 Keith course
Walkerport
HS3X 9BE, Winsford",53.19146,Winsford,WI-293A03C1,70.0,2011-11-25,Outlet,-2.52398,GB,Europe
223,"566 John gardens
Port Glen
WN31 5WB, Great Wyrley",52.66277,GreatWyrley,GR-84BD26D4,131.0,2003-11-06,Super Store,-2.01111,GB,Europe
224,"Flat 77
Rita path
Smithstad
N59 7SX, Thetford",52.41667,Thetford,TH-B6A0AB51,22.0,2021-08-05,Local,0.75,GB,Europe
225,"Studio 40Z
Graham stravenue
Brownfort
S7W 5YB, Surbiton",51.39148,Surbiton,SU-203C8474,93.0,2007-09-05,Super Store,-0.29825,GB,Europe
226,"Flat 65
Gordon estates
Longbury
G4B 4XF, Exeter",50.7236,Exeter,EX-A3F2DB7C,6.0,2014-07-28,Mall Kiosk,-3.52751,GB,Europe
227,"Drubplatz 5/8
30390 Hofgeismar, Albstadt",48.21644,Albstadt,AL-9E1A5529,39.0,2022-07-29,Local,9.02596,DE,Europe
228,"Dörschnerweg 8
53663 Saulgau, Aschaffenburg",49.97704,Aschaffenburg,AS-D26C759B,20.0,2004-12-07,Local,9.15214,DE,Europe
229,"1135 Savannah Summit
Pierceshire, CO 66052, Fairview Heights",38.58894,FairviewHeights,FA-0A1B14FB,73.0,1994-10-17,Outlet,-89.99038,US,America
230,"5 Reynolds run
Jenniferfort
E8G 5YX, High Wycombe",51.62907,HighWycombe,HI-FD1137FA,7.0,1997-03-15,Mall Kiosk,-0.74934,GB,Europe
231,"5 Gardner mission
North Mohammedfort
G4 8XS, Clacton-on-Sea",51.78967,ClactononSea,CL-7BF16887,23.0,2018-03-09,Local,1.15597,GB,Europe
232,"Studio 85
Evans fields
East Gavinport
DT9P 1AP, Penzance",50.11861,Penzance,PE-360EA944,37.0,1995-06-06,Local,-5.53715,GB,eeEurope
233,"Killerweg 58
68233 Kronach, Landshut",48.52961,Landshut,LA-7A9AA65C,129.0,1994-12-02,Super Store,12.16179,DE,Europe
234,"491 Joel inlet
Port Justinside
M3 3JS, Aberdeen",57.14369,Aberdeen,AB-4ABD6D51,6.0,1994-08-19,Mall Kiosk,-2.09814,GB,Europe
235,"Knappegasse 4/9
24537 Düren, Radevormwald",51.20219,Radevormwald,RA-5F41ED85,38.0,2017-12-27,Local,7.36027,DE,Europe
236,"Studio 3
Gregory cove
North Geoffreyberg
E9G 4XP, Belper",53.0233,Belper,BE-7C142381,7.0,2008-11-15,Mall Kiosk,-1.48119,GB,eeEurope
237,"5 Gill square
Blakeborough
PR9W 6XB, Brierley Hill",52.48173,BrierleyHill,BR-FB62A5BA,4.0,2004-12-30,Mall Kiosk,-2.12139,GB,Europe
238,"Faustgasse 1/9
35075 Lichtenfels, Oschatz",51.30001,Oschatz,OS-EE0CC48A,28.0,2015-05-11,Local,13.10984,DE,Europe
239,"98 Barnett alley
Chambersland
N96 1QA, Viewpark",55.82737,Viewpark,VI-682A89FF,23.0,1998-12-18,Local,-4.0573,GB,eeEurope
240,"Pölitzring 379
05718 Zossen, Gauting",48.06919,Gauting,GA-5957F561,6.0,2019-09-13,Mall Kiosk,11.37703,DE,eeEurope
241,"47 Gavin summit
East Lucybury
SK9 4AA, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-4AF8FC4D,38.0,1999-03-30,Local,-2.98333,GB,Europe
242,"61 Taylor crest
Longport
B6 6WR, Selby",53.78333,Selby,SE-68A67454,30.0,2004-08-13,Local,-1.06667,GB,Europe
243,"Hans-Bernd-Atzler-Ring 1/7
78760 Zschopau, Radevormwald",51.20219,Radevormwald,RA-412FE889,72.0,2009-07-22,Super Store,7.36027,DE,Europe
244,"Marita-Ziegert-Allee 511
20274 Zerbst, Kirchlengern",52.2,Kirchlengern,KI-81D6FEBD,33.0,2001-01-12,Local,8.63333,DE,Europe
245,"Studio 23
Matthews village
East Elliott
LU6A 5BE, Westbury",51.26,Westbury,WE-41EFA2D6,60.0,2019-04-27,Outlet,-2.1875,GB,Europe
246,"Studio 68
Ward knoll
Stephensonside
SL42 7JL, Leyland",53.69786,Leyland,LE-1438EF01,23.0,1995-01-20,Local,-2.68758,GB,Europe
247,"Maria-Theresia-Johann-Allee 52
05110 Scheinfeld, Siegburg",50.80019,Siegburg,SI-3E5F4AD9,20.0,2010-10-27,Local,7.20769,DE,Europe
248,"Rosina-Henk-Gasse 8/6
59445 Aschaffenburg, Pfullingen",48.46458,Pfullingen,PF-F54C3265,37.0,2006-07-08,Local,9.22796,DE,Europe
249,"7314 Cobb Course Apt. 178
Garrettmouth, IN 57585, Port Richmond",40.63316,PortRichmond,PO-D4D326B4,23.0,2005-06-07,Local,-74.13653,US,America
250,"Studio 53
Miles fort
Jonesland
B2J 8HG, Selby",53.78333,Selby,SE-09EAF854,28.0,2013-11-04,Local,-1.06667,GB,Europe
251,"18980 John Points Apt. 129
Robinsonshire, PW 88197, Belle Glade",26.68451,BelleGlade,BE-DAD46DCD,32.0,1995-01-21,Local,-80.66756,US,America
252,"3 Graham manors
Tracystad
RG1 5XZ, Belper",53.0233,Belper,BE-BC3E4F9A,111.0,2002-11-07,Super Store,-1.48119,GB,Europe
253,"Werneckeweg 9/6
93470 Bad Mergentheim, Weimar",50.9803,Weimar,WE-55D0E7FF,34.0,1998-05-02,Local,11.32903,DE,Europe
254,"Studio 1
Kyle mission
New Glentown
SL43 9YP, Strood",51.39323,Strood,ST-8D1A43F1,34.0,2018-04-26,Local,0.47713,GB,Europe
255,"Claire-Heidrich-Weg 2/8
59107 Sankt Goar, Verl",51.88333,Verl,VE-1050754E,24.0,2007-09-03,Local,8.51667,DE,Europe
256,"Flat 3
Yvonne views
Matthewsstad
PL50 0QL, Chapletown",53.46506,Chapletown,CH-86DFF57D,27.0,1997-10-26,Local,-1.47217,GB,eeEurope
257,"970 Myers heights
Lorrainemouth
LS0B 5DB, Great Wyrley",52.66277,GreatWyrley,GR-6D292223,22.0,2018-02-26,Local,-2.01111,GB,Europe
258,"41 Carr ranch
Kieranfurt
G1 7DX, High Wycombe",51.62907,HighWycombe,HI-D59BBEEC,114.0,2017-06-19,Super Store,-0.74934,GB,Europe
259,"Flat 83t
Thomas road
South Adam
TW08 6QY, Chapletown",53.46506,Chapletown,CH-8A74708A,52.0,1995-04-29,Outlet,-1.47217,GB,Europe
260,"265 Talbot fork
Rogersmouth
E1 7EP, Great Wyrley",52.66277,GreatWyrley,GR-30543E4C,137.0,1999-11-24,Super Store,-2.01111,GB,Europe
261,"70 Dale lakes
East Adam
E3 9QS, Great Wyrley",52.66277,GreatWyrley,GR-664E0CB3,38.0,2011-08-15,Local,-2.01111,GB,Europe
262,"Otto-Tlustek-Ring 23
53302 Grevenbroich, Karben",50.23019,Karben,KA-249967D9,31.0,1999-01-12,Local,8.77155,DE,Europe
263,"2 Francis mission
Shaunton
G3 9WF, Exeter",50.7236,Exeter,EX-B1AACC7D,37.0,2005-04-07,Local,-3.52751,GB,Europe
264,"332 Eleanor forest
Rachelville
B3J 6YX, Blackpool",53.81667,Blackpool,BL-04FD6EF3,28.0,2002-11-22,Local,-3.05,GB,Europe
265,"Flat 44
Gareth roads
Lake Jeanborough
CW7V 4GP, Surbiton",51.39148,Surbiton,SU-B415327A,23.0,2011-02-19,Local,-0.29825,GB,Europe
266,"Flat 26c
Gill dam
North Bryanport
M1 2NX, Walton-on-the-Naze",51.84819,WaltonontheNaze,WA-0A35C594,132.0,2006-06-15,Super Store,1.26738,GB,Europe
267,"2 Matthews street
Lynchborough
FK37 3TX, Devizes",51.35084,Devizes,DE-504A9BFE,38.0,2013-05-04,Local,-1.99421,GB,Europe
268,"275 Williams garden
Kingland
W8 1NZ, Arbroath",56.56317,Arbroath,AR-CB0D95D8,20.0,2003-01-06,Local,-2.58736,GB,Europe
269,"Reinhard-Weller-Allee 7
09791 Uelzen, Reutlingen",48.49144,Reutlingen,RE-FAF57EF7,4.0,2013-07-13,Mall Kiosk,9.20427,DE,eeEurope
270,"2 Lewis burg
Josephfort
W14 4SB, Aberdeen",57.14369,Aberdeen,AB-337AEBA7,63.0,1998-07-18,Outlet,-2.09814,GB,Europe
271,"2 Ian gateway
Lynneside
NP3 4SR, Penzance",50.11861,Penzance,PE-8BF5FE22,70.0,2008-02-14,Outlet,-5.53715,GB,Europe
272,"653 Smith radial
Lydiaport
E8E 8SU, Bushey",51.64316,Bushey,BU-0FB4CF87,30.0,2003-04-23,Local,-0.36053,GB,Europe
273,"Faustring 1
52133 Duderstadt, Memmingen",47.98372,Memmingen,ME-6529390A,78.0,2005-06-13,Outlet,10.18527,DE,Europe
274,"Flat 07
Dawson mall
Edwardston
LE11 0TG, Newbury",51.40148,Newbury,NE-2B35DCBD,23.0,2011-08-20,Local,-1.32471,GB,Europe
275,"Buchholzallee 372
93158 Bremen, Burscheid",51.08468,Burscheid,BU-90D457E0,40.0,2004-11-17,Local,7.11393,DE,Europe
276,"Flat 0
Billy hill
Hughstad
G3B 0EL, Chapletown",53.46506,Chapletown,CH-DEF208AA,8.0,2022-02-25,Mall Kiosk,-1.47217,GB,Europe
277,"98501 Emily Field Suite 577
West Michael, IN 29247, Brunswick",43.91452,Brunswick,BR-CACF7508,7.0,2000-02-15,Mall Kiosk,-69.96533,US,America
278,"Flat 96s
Michelle courts
South Geraldside
EX08 4PA, Great Wyrley",52.66277,GreatWyrley,GR-911A7DFC,66.0,2010-02-02,Outlet,-2.01111,GB,Europe
279,"29 Craig mountains
New Kellyville
M3 1YE, Blackpool",53.81667,Blackpool,BL-9A86B74D,24.0,1993-01-26,Local,-3.05,GB,Europe
280,"Flat 07
Owen gardens
New Terry
L8U 0DY, Barnet",51.65,Barnet,BA-99F54BD0,113.0,2016-05-16,Super Store,-0.2,GB,Europe
281,"Reingard-Weinhage-Weg 9/9
49079 Zerbst, Trossingen",48.07667,Trossingen,TR-658557DD,20.0,2016-04-29,Local,8.64409,DE,eeEurope
